yil;donem;kadro_kodu;kurum;unvan;il;ogrenim;kontenjan;bos_kadro;min_puan;max_puan;nitelik_kodlari;nitelikler;kadro_guid
2013;3;191594717;İstanbul Arnavutköy Devlet Hastanesi;Sağlık Memuru Laboratuvar Teknisyeni;İstanbul;Ortaogretim;1;;95.015;95.015;"2099;1951;5683;5761";2099 - Aşağıdaki ortaöğretim programlarından birinden mezun olmak. | 1951 - Laboratuvar Bölümü/Laboratuvar Teknisyenliği Bölümü | 5683 - Sağlık (Tıbbi Laboratuvar Dalı) | 5761 - Tıbbi Laboratuvar Alanı ve Dalları;c5918738-5525-e511-b6dc-14feb5cc13c9
2013;3;191595311;Kastamonu Araç İlçe Devlet Hastanesi;Sağlık Memuru Laboratuvar Teknisyeni;Kastamonu;Ortaogretim;1;;94.183;94.183;"2099;1951;5683;5761";2099 - Aşağıdaki ortaöğretim programlarından birinden mezun olmak. | 1951 - Laboratuvar Bölümü/Laboratuvar Teknisyenliği Bölümü | 5683 - Sağlık (Tıbbi Laboratuvar Dalı) | 5761 - Tıbbi Laboratuvar Alanı ve Dalları;9b928738-5525-e511-b6dc-14feb5cc13c9
2013;3;190163835;İstanbul Avcılar 2 Nolu Acil Sağlık Hizmetleri İstasyonu;Sağlık Memuru Acil Tıp Teknisyeni;İstanbul;Ortaogretim;1;;91.045;91.045;"2087;3523;5401;5671";2087 - Aşağıdaki ortaöğretim programlarından birinden mezun olmak. | 3523 - Acil Tıp Teknisyenliği Bölümü/İlk Yardım ve Acil Bakım Teknisyenliği Bölümü | 5401 - Acil Sağlık Hizmetleri Alanı ve Dalları | 5671 - Sağlık (Acil Tıp Dalı);d7918738-5525-e511-b6dc-14feb5cc13c9
2013;3;191593079;Giresun Alucra İlçe Devlet Hastanesi;Sağlık Memuru Laboratuvar Teknisyeni;Giresun;Ortaogretim;1;;90.85;90.85;"2099;1951;5683;5761";2099 - Aşağıdaki ortaöğretim programlarından birinden mezun olmak. | 1951 - Laboratuvar Bölümü/Laboratuvar Teknisyenliği Bölümü | 5683 - Sağlık (Tıbbi Laboratuvar Dalı) | 5761 - Tıbbi Laboratuvar Alanı ve Dalları;37918738-5525-e511-b6dc-14feb5cc13c9
2013;3;191592197;Erzincan Refahiye Dr.Fahrettin Uğur Devlet Hastanesi;Sağlık Memuru Laboratuvar Teknisyeni;Erzincan;Ortaogretim;1;;90.632;90.632;"2099;1951;5683;5761";2099 - Aşağıdaki ortaöğretim programlarından birinden mezun olmak. | 1951 - Laboratuvar Bölümü/Laboratuvar Teknisyenliği Bölümü | 5683 - Sağlık (Tıbbi Laboratuvar Dalı) | 5761 - Tıbbi Laboratuvar Alanı ve Dalları;b8908738-5525-e511-b6dc-14feb5cc13c9
2013;3;191594933;İzmir Dr.Behçet Uz Çocuk Hastalıkları ve Cerrahisi Eğitim ve Araştırma Hastanesi;Hemşire;İzmir;Ortaogretim;1;;90.494;90.494;"2125;1746;2315;3606";2125 - Aşağıdaki ortaöğretim programlarından birinden mezun olmak. | 1746 - Hemşirelik Bölümü | 2315 - Sağlık Memurluğu Bölümü | 3606 - Ebelik-Hemşirelik Bölümü;55928738-5525-e511-b6dc-14feb5cc13c9
2013;3;191591207;Aydın Devlet Hastanesi;Hemşire;Aydın;Ortaogretim;2;;90.41;94.626;"2125;1746;2315;3606";2125 - Aşağıdaki ortaöğretim programlarından birinden mezun olmak. | 1746 - Hemşirelik Bölümü | 2315 - Sağlık Memurluğu Bölümü | 3606 - Ebelik-Hemşirelik Bölümü;14908738-5525-e511-b6dc-14feb5cc13c9
2013;3;191592845;Erzurum Aşkale İlçe Devlet Hastanesi;Sağlık Memuru Laboratuvar Teknisyeni;Erzurum;Ortaogretim;1;;90.117;90.117;"2099;1951;5683;5761";2099 - Aşağıdaki ortaöğretim programlarından birinden mezun olmak. | 1951 - Laboratuvar Bölümü/Laboratuvar Teknisyenliği Bölümü | 5683 - Sağlık (Tıbbi Laboratuvar Dalı) | 5761 - Tıbbi Laboratuvar Alanı ve Dalları;e0908738-5525-e511-b6dc-14feb5cc13c9
2013;3;191593151;Gümüşhane Devlet Hastanesi;Sağlık Memuru Anestezi Teknisyeni;Gümüşhane;Ortaogretim;1;;90.088;90.088;"2089;1051;5421;5673";2089 - Aşağıdaki ortaöğretim programlarından birinden mezun olmak. | 1051 - Anestezi Bölümü/Anestezi Teknisyenliği Bölümü | 5421 - Anestezi ve Reanimasyon Alanı ve Dalları | 5673 - Sağlık (Anestezi Dalı);38918738-5525-e511-b6dc-14feb5cc13c9
2013;3;191596103;Manisa Kırkağaç Devlet Hastanesi;Sağlık Memuru Anestezi Teknisyeni;Manisa;Ortaogretim;1;;89.572;89.572;"2089;1051;5421;5673";2089 - Aşağıdaki ortaöğretim programlarından birinden mezun olmak. | 1051 - Anestezi Bölümü/Anestezi Teknisyenliği Bölümü | 5421 - Anestezi ve Reanimasyon Alanı ve Dalları | 5673 - Sağlık (Anestezi Dalı);0b938738-5525-e511-b6dc-14feb5cc13c9
2013;3;191592809;Erzurum Karaçoban İlçe Devlet Hastanesi;Sağlık Memuru Laboratuvar Teknisyeni;Erzurum;Ortaogretim;1;;89.534;89.534;"2099;1951;5683;5761";2099 - Aşağıdaki ortaöğretim programlarından birinden mezun olmak. | 1951 - Laboratuvar Bölümü/Laboratuvar Teknisyenliği Bölümü | 5683 - Sağlık (Tıbbi Laboratuvar Dalı) | 5761 - Tıbbi Laboratuvar Alanı ve Dalları;de908738-5525-e511-b6dc-14feb5cc13c9
2013;3;191590163;Adana Numune Eğitim ve Araştırma Hastanesi;Hemşire;Adana;Ortaogretim;2;;89.152;90.429;"2125;1746;2315;3606";2125 - Aşağıdaki ortaöğretim programlarından birinden mezun olmak. | 1746 - Hemşirelik Bölümü | 2315 - Sağlık Memurluğu Bölümü | 3606 - Ebelik-Hemşirelik Bölümü;828f8738-5525-e511-b6dc-14feb5cc13c9
2013;3;191591585;Bingöl Karlıova Devlet Hastanesi;Sağlık Memuru Laboratuvar Teknisyeni;Bingöl;Ortaogretim;1;;88.746;88.746;"2099;1951;5683;5761";2099 - Aşağıdaki ortaöğretim programlarından birinden mezun olmak. | 1951 - Laboratuvar Bölümü/Laboratuvar Teknisyenliği Bölümü | 5683 - Sağlık (Tıbbi Laboratuvar Dalı) | 5761 - Tıbbi Laboratuvar Alanı ve Dalları;40908738-5525-e511-b6dc-14feb5cc13c9
2013;3;191598371;Şırnak Devlet Hastanesi;Sağlık Memuru Laboratuvar Teknisyeni;Şırnak;Ortaogretim;1;;88.702;88.702;"2099;1951;5683;5761";2099 - Aşağıdaki ortaöğretim programlarından birinden mezun olmak. | 1951 - Laboratuvar Bölümü/Laboratuvar Teknisyenliği Bölümü | 5683 - Sağlık (Tıbbi Laboratuvar Dalı) | 5761 - Tıbbi Laboratuvar Alanı ve Dalları;12958738-5525-e511-b6dc-14feb5cc13c9
2013;3;191590613;Ağrı Eleşkirt İlçe Devlet Hastanesi;Sağlık Memuru Laboratuvar Teknisyeni;Ağrı;Ortaogretim;1;;88.684;88.684;"2099;1951;5683;5761";2099 - Aşağıdaki ortaöğretim programlarından birinden mezun olmak. | 1951 - Laboratuvar Bölümü/Laboratuvar Teknisyenliği Bölümü | 5683 - Sağlık (Tıbbi Laboratuvar Dalı) | 5761 - Tıbbi Laboratuvar Alanı ve Dalları;c08f8738-5525-e511-b6dc-14feb5cc13c9
2013;3;191596391;Mardin Dargeçit İlçe Devlet Hastanesi;Sağlık Memuru Laboratuvar Teknisyeni;Mardin;Ortaogretim;1;;88.472;88.472;"2099;1951;5683;5761";2099 - Aşağıdaki ortaöğretim programlarından birinden mezun olmak. | 1951 - Laboratuvar Bölümü/Laboratuvar Teknisyenliği Bölümü | 5683 - Sağlık (Tıbbi Laboratuvar Dalı) | 5761 - Tıbbi Laboratuvar Alanı ve Dalları;26938738-5525-e511-b6dc-14feb5cc13c9
2013;3;191596715;Muş Korkut İlçe Devlet Hastanesi;Sağlık Memuru Laboratuvar Teknisyeni;Muş;Ortaogretim;1;;88.436;88.436;"2099;1951;5683;5761";2099 - Aşağıdaki ortaöğretim programlarından birinden mezun olmak. | 1951 - Laboratuvar Bölümü/Laboratuvar Teknisyenliği Bölümü | 5683 - Sağlık (Tıbbi Laboratuvar Dalı) | 5761 - Tıbbi Laboratuvar Alanı ve Dalları;4b938738-5525-e511-b6dc-14feb5cc13c9
2013;3;191596823;Rize Devlet Hastanesi;Sağlık Memuru Tıbbi Sekreter;Rize;Ortaogretim;1;;88.425;88.425;"2101;2687;3538;5459;5685;5687";2101 - Aşağıdaki ortaöğretim programlarından birinden mezun olmak. | 2687 - Tıp Sekreterliği Bölümü | 3538 - Tıbbi Sekreterlik Bölümü | 5459 - Büro Yönetimi ve Sekreterlik (Tıp Sekreterliği Dalı) | 5685 - Sağlık (Tıbbi Sekreterlik Dalı) | 5687 - Sağlık Hizmetleri Sekreterliği Alanı ve Dalları;8e938738-5525-e511-b6dc-14feb5cc13c9
