yil;donem;kadro_kodu;kurum;unvan;il;ogrenim;kontenjan;bos_kadro;min_puan;max_puan;nitelik_kodlari;nitelikler;kadro_guid
2015;1;111000001;Yıldırım Beyazıt Üniversitesi;Memur;Ankara;Ortaogretim;1;;99.724;99.724;2001;2001 - Herhangi bir ortaöğretim programından mezun olmak.;f1d9a2df-c418-e511-89b7-14feb5cc13c9
2015;1;110890005;Selçuk Üniversitesi;Memur;Konya;Ortaogretim;1;;99.254;99.254;2001;2001 - Herhangi bir ortaöğretim programından mezun olmak.;d7e0a2df-c418-e511-89b7-14feb5cc13c9
2015;1;110890003;Selçuk Üniversitesi;Memur;Konya;Ortaogretim;1;;98.824;98.824;2001;2001 - Herhangi bir ortaöğretim programından mezun olmak.;d6e0a2df-c418-e511-89b7-14feb5cc13c9
2015;1;191170003;Makina ve Kimya Endüstrisi Kurumu Genel Müdürlüğü;Memur;Ankara;Ortaogretim;2;;97.737;98.397;"2137;6310";2137 - Aşağıdaki ortaöğretim programlarından birinden mezun olmak. | 6310 - Türkçe Matematik;ecd9a2df-c418-e511-89b7-14feb5cc13c9
2015;1;110730001;Mehmet Akif Ersoy Üniversitesi;Hayvan Bakıcısı;Burdur;Ortaogretim;3;;97.193;97.294;2001;2001 - Herhangi bir ortaöğretim programından mezun olmak.;46dba2df-c418-e511-89b7-14feb5cc13c9
2015;1;110890007;Selçuk Üniversitesi;Kaloriferci;Konya;Ortaogretim;1;;96.397;96.397;"2001;6251;6297;6661;6663;7347";2001 - Herhangi bir ortaöğretim programından mezun olmak. | 6251 - M.E.B.'Dan Onaylı Doğalgaz Kalorifer Ateşçiliği Sertifikası Sahibi olmak. | 6297 - M.E.B.'Dan Onaylı Kalorifer Ateşçiliği Sertifikası Sahibi olmak. | 6661 - 3308 Sayılı Kanuna Göre Kalorifercilik Dalında Ustalık Belgesine Sahip olmak. | 6663 - 3308 Sayılı Kanuna Göre Kalorifercilik Dalında Kalfalık Belgesine Sahip olmak. | 7347 - (Bakınız Başvurma Özel Şartları Bölümü Kaloriferci).;d8e0a2df-c418-e511-89b7-14feb5cc13c9
2015;1;110600001;Kahramanmaraş Sütçü İmam Üniversitesi;Kaloriferci;Kahramanmaraş;Ortaogretim;1;;95.86;95.86;"2001;6251;6297;6661;6663;7347";2001 - Herhangi bir ortaöğretim programından mezun olmak. | 6251 - M.E.B.'Dan Onaylı Doğalgaz Kalorifer Ateşçiliği Sertifikası Sahibi olmak. | 6297 - M.E.B.'Dan Onaylı Kalorifer Ateşçiliği Sertifikası Sahibi olmak. | 6661 - 3308 Sayılı Kanuna Göre Kalorifercilik Dalında Ustalık Belgesine Sahip olmak. | 6663 - 3308 Sayılı Kanuna Göre Kalorifercilik Dalında Kalfalık Belgesine Sahip olmak. | 7347 - (Bakınız Başvurma Özel Şartları Bölümü Kaloriferci).;8ee1a2df-c418-e511-89b7-14feb5cc13c9
2015;1;190090005;Dışişleri Bakanlığı;Teknisyen;Ankara;Ortaogretim;1;;95.83;95.83;"2011;6006";2011 - Aşağıdaki ortaöğretim programlarından birinden mezun olmak. | 6006 - Bilişim Teknolojileri;f6d9a2df-c418-e511-89b7-14feb5cc13c9
2015;1;191590023;Türkiye Kamu Hastaneleri Kurumu Başkanlığı;Sağlık Memuru;Bursa;Ortaogretim;1;;95.279;95.279;"2089;6202";2089 - Aşağıdaki ortaöğretim programlarından birinden mezun olmak. | 6202 - Anestezi ve Reanimasyon - Anestezi Teknisyenliği Dalı (Dal kod: 101);9bdba2df-c418-e511-89b7-14feb5cc13c9
2015;1;110890009;Selçuk Üniversitesi;Kaloriferci;Konya;Ortaogretim;1;;94.374;94.374;"2001;6251;6297;6661;6663;7347";2001 - Herhangi bir ortaöğretim programından mezun olmak. | 6251 - M.E.B.'Dan Onaylı Doğalgaz Kalorifer Ateşçiliği Sertifikası Sahibi olmak. | 6297 - M.E.B.'Dan Onaylı Kalorifer Ateşçiliği Sertifikası Sahibi olmak. | 6661 - 3308 Sayılı Kanuna Göre Kalorifercilik Dalında Ustalık Belgesine Sahip olmak. | 6663 - 3308 Sayılı Kanuna Göre Kalorifercilik Dalında Kalfalık Belgesine Sahip olmak. | 7347 - (Bakınız Başvurma Özel Şartları Bölümü Kaloriferci).;d9e0a2df-c418-e511-89b7-14feb5cc13c9
