yil;donem;kadro_kodu;kurum;unvan;il;ogrenim;kontenjan;bos_kadro;min_puan;max_puan;nitelik_kodlari;nitelikler;kadro_guid
2020;8;133180105;T.C. Sağlık Bakanlığı Sbü İstanbul Yedikule Göğüs Hastalıkları ve Göğüs Cerrahisi Eah;Hemşire;İstanbul;Ortaogretim;3;3;83.653;84.071;;;b2bb0c2c-ccaf-ea11-80f7-a0369f7d1486
2020;8;139523601;T.C. Sağlık Bakanlığı Marmara Üniversitesi Pendik Eğitim ve Araştırma Hastanesi;Hemşire;İstanbul;Ortaogretim;37;37;81.834;87.16;;;b4bb0c2c-ccaf-ea11-80f7-a0369f7d1486
2020;8;117729608;T.C. Sağlık Bakanlığı Medeniyet Üniversitesi Göztepe Eğitim ve Araştırma Hastanesi;Hemşire;İstanbul;Ortaogretim;24;24;81.725;83.954;;;b1bb0c2c-ccaf-ea11-80f7-a0369f7d1486
2020;8;163192105;T.C. Sağlık Bakanlığı Sancaktepe Şehit Prof. Dr. İlhan Varank Eğitim ve Araştırma Hastanesi;Hemşire;İstanbul;Ortaogretim;162;162;81.382;84.706;;;b5bb0c2c-ccaf-ea11-80f7-a0369f7d1486
2020;8;134570103;T.C. Sağlık Bakanlığı Sbü İstanbul Dr. Sadi Konuk Eğitim ve Araştırma Hastanesi;Hemşire;İstanbul;Ortaogretim;147;147;81.333;84.447;;;b3bb0c2c-ccaf-ea11-80f7-a0369f7d1486
2020;8;239523622;T.C. Sağlık Bakanlığı Marmara Üniversitesi Pendik Eğitim ve Araştırma Hastanesi;Sağlık Teknikeri (Eczane);İstanbul;Onlisans;1;1;87.377;87.377;"3008;4245;9087";3008 - Aşağıdaki önlisans programlarından birinden mezun olmak. | 4245 - Eczane Teknikerliği | 9087 - Eczane Hizmetleri;cbbb0c2c-ccaf-ea11-80f7-a0369f7d1486
2020;8;239523620;T.C. Sağlık Bakanlığı Marmara Üniversitesi Pendik Eğitim ve Araştırma Hastanesi;Sağlık Teknikeri (Anestezi);İstanbul;Onlisans;5;5;81.928;90.202;"3007;1106;6107";3007 - Aşağıdaki önlisans programlarından birinden mezun olmak. | 1106 - Anestezi | 6107 - Anestezi Teknikerliği;c9bb0c2c-ccaf-ea11-80f7-a0369f7d1486
2020;8;217729617;T.C. Sağlık Bakanlığı Medeniyet Üniversitesi Göztepe Eğitim ve Araştırma Hastanesi;Sağlık Teknikeri (Anestezi);İstanbul;Onlisans;10;10;81.855;82.816;"3007;1106;6107";3007 - Aşağıdaki önlisans programlarından birinden mezun olmak. | 1106 - Anestezi | 6107 - Anestezi Teknikerliği;b6bb0c2c-ccaf-ea11-80f7-a0369f7d1486
2020;8;234570124;T.C. Sağlık Bakanlığı Sbü İstanbul Dr. Sadi Konuk Eğitim ve Araştırma Hastanesi;Sağlık Teknikeri (Anestezi);İstanbul;Onlisans;34;34;81.671;90.389;"3007;1106;6107";3007 - Aşağıdaki önlisans programlarından birinden mezun olmak. | 1106 - Anestezi | 6107 - Anestezi Teknikerliği;c2bb0c2c-ccaf-ea11-80f7-a0369f7d1486
2020;8;263192112;T.C. Sağlık Bakanlığı Sancaktepe Şehit Prof. Dr. İlhan Varank Eğitim ve Araştırma Hastanesi;Sağlık Teknikeri (Anestezi);İstanbul;Onlisans;51;51;81.604;84.12;"3007;1106;6107";3007 - Aşağıdaki önlisans programlarından birinden mezun olmak. | 1106 - Anestezi | 6107 - Anestezi Teknikerliği;d0bb0c2c-ccaf-ea11-80f7-a0369f7d1486
2020;8;239523621;T.C. Sağlık Bakanlığı Marmara Üniversitesi Pendik Eğitim ve Araştırma Hastanesi;Sağlık Teknikeri (Diyaliz);İstanbul;Onlisans;1;1;81.487;81.487;"3057;1147";3057 - Aşağıdaki önlisans programlarından birinden mezun olmak. | 1147 - Diyaliz;cabb0c2c-ccaf-ea11-80f7-a0369f7d1486
2020;8;239523625;T.C. Sağlık Bakanlığı Marmara Üniversitesi Pendik Eğitim ve Araştırma Hastanesi;Sağlık Teknikeri (Röntgen);İstanbul;Onlisans;6;6;81.447;81.633;"3037;1281;9086";3037 - Aşağıdaki önlisans programlarından birinden mezun olmak. | 1281 - Radyoloji | 9086 - Tıbbi Görüntüleme Teknikleri;cebb0c2c-ccaf-ea11-80f7-a0369f7d1486
2020;8;233180111;T.C. Sağlık Bakanlığı Sbü İstanbul Yedikule Göğüs Hastalıkları ve Göğüs Cerrahisi Eah;Sağlık Teknikeri (Röntgen);İstanbul;Onlisans;5;5;81.426;81.588;"3037;1281;9086";3037 - Aşağıdaki önlisans programlarından birinden mezun olmak. | 1281 - Radyoloji | 9086 - Tıbbi Görüntüleme Teknikleri;c0bb0c2c-ccaf-ea11-80f7-a0369f7d1486
2020;8;217729622;T.C. Sağlık Bakanlığı Medeniyet Üniversitesi Göztepe Eğitim ve Araştırma Hastanesi;Sağlık Teknikeri (Röntgen);İstanbul;Onlisans;9;9;81.416;82.513;"3037;1281;9086";3037 - Aşağıdaki önlisans programlarından birinden mezun olmak. | 1281 - Radyoloji | 9086 - Tıbbi Görüntüleme Teknikleri;bbbb0c2c-ccaf-ea11-80f7-a0369f7d1486
2020;8;263192116;T.C. Sağlık Bakanlığı Sancaktepe Şehit Prof. Dr. İlhan Varank Eğitim ve Araştırma Hastanesi;Sağlık Teknikeri (Diyaliz);İstanbul;Onlisans;5;5;81.376;81.624;"3057;1147";3057 - Aşağıdaki önlisans programlarından birinden mezun olmak. | 1147 - Diyaliz;d4bb0c2c-ccaf-ea11-80f7-a0369f7d1486
2020;8;217729618;T.C. Sağlık Bakanlığı Medeniyet Üniversitesi Göztepe Eğitim ve Araştırma Hastanesi;Sağlık Teknikeri (Diyaliz);İstanbul;Onlisans;5;5;81.356;82.201;"3057;1147";3057 - Aşağıdaki önlisans programlarından birinden mezun olmak. | 1147 - Diyaliz;b7bb0c2c-ccaf-ea11-80f7-a0369f7d1486
2020;8;234570128;T.C. Sağlık Bakanlığı Sbü İstanbul Dr. Sadi Konuk Eğitim ve Araştırma Hastanesi;Sağlık Teknikeri (Diyaliz);İstanbul;Onlisans;6;6;81.349;81.847;"3057;1147";3057 - Aşağıdaki önlisans programlarından birinden mezun olmak. | 1147 - Diyaliz;c6bb0c2c-ccaf-ea11-80f7-a0369f7d1486
2020;8;233180110;T.C. Sağlık Bakanlığı Sbü İstanbul Yedikule Göğüs Hastalıkları ve Göğüs Cerrahisi Eah;Sağlık Teknikeri (Patolojik Anatomi);İstanbul;Onlisans;1;1;81.221;81.221;"3025;1267;9088";3025 - Aşağıdaki önlisans programlarından birinden mezun olmak. | 1267 - Patoloji Laboratuvar | 9088 - Patoloji Laboratuvar Teknikleri;bfbb0c2c-ccaf-ea11-80f7-a0369f7d1486
2020;8;239523624;T.C. Sağlık Bakanlığı Marmara Üniversitesi Pendik Eğitim ve Araştırma Hastanesi;Sağlık Teknikeri (Patolojik Anatomi);İstanbul;Onlisans;1;1;81.173;81.173;"3025;1267;9088";3025 - Aşağıdaki önlisans programlarından birinden mezun olmak. | 1267 - Patoloji Laboratuvar | 9088 - Patoloji Laboratuvar Teknikleri;cdbb0c2c-ccaf-ea11-80f7-a0369f7d1486
