yil;donem;kadro_kodu;kurum;unvan;il;ogrenim;kontenjan;bos_kadro;min_puan;max_puan;nitelik_kodlari;nitelikler;kadro_guid
2023;5;105012733;T.C. Sağlık Bakanlığı Kayseri Devlet Hastanesi;Hemşire;Kayseri;Ortaogretim;1;;93.153;93.153;"2125;6205;6205;6205";2125 - Aşağıdaki ortaöğretim programlarından birinden mezun olmak. | 6205 - Hemşirelik-Ebelik-Sağlık Memurluğu - Hemşirelik Dalı (Dal kod: 101) | 6205 - Hemşirelik-Ebelik-Sağlık Memurluğu - Sağlık Memurluğu Dalı (Dal kod: 103) | 6205 - Hemşirelik-Ebelik-Sağlık Memurluğu - Ebelik-Hemşirelik Dalı (Dal kod: 104);2bc401ce-42cd-ed11-811c-a0369f7d1486
2023;5;105010542;T.C. Sağlık Bakanlığı Ardahan Devlet Hastanesi;Hemşire;Ardahan;Ortaogretim;1;;92.109;92.109;"2125;6205;6205;6205";2125 - Aşağıdaki ortaöğretim programlarından birinden mezun olmak. | 6205 - Hemşirelik-Ebelik-Sağlık Memurluğu - Hemşirelik Dalı (Dal kod: 101) | 6205 - Hemşirelik-Ebelik-Sağlık Memurluğu - Sağlık Memurluğu Dalı (Dal kod: 103) | 6205 - Hemşirelik-Ebelik-Sağlık Memurluğu - Ebelik-Hemşirelik Dalı (Dal kod: 104);d3ce01ce-42cd-ed11-811c-a0369f7d1486
2023;5;105010654;Balıkesir Gönen 3 Nolu Acil Sağlık Hizmetleri İstasyonu;Sağlık Teknisyeni (İlk ve Acil Yardım);Balıkesir;Ortaogretim;1;;91.943;91.943;"2087;6201";2087 - Aşağıdaki ortaöğretim programlarından birinden mezun olmak. | 6201 - Acil Sağlık Hizmetleri - Acil Tıp Teknisyenliği Dalı (Dal kod: 101);74b801ce-42cd-ed11-811c-a0369f7d1486
2023;5;105013741;T.C. Sağlık Bakanlığı Ceylanpınar Devlet Hastanesi;Hemşire;Şanlıurfa;Ortaogretim;1;;91.872;91.872;"2125;6205;6205;6205";2125 - Aşağıdaki ortaöğretim programlarından birinden mezun olmak. | 6205 - Hemşirelik-Ebelik-Sağlık Memurluğu - Hemşirelik Dalı (Dal kod: 101) | 6205 - Hemşirelik-Ebelik-Sağlık Memurluğu - Sağlık Memurluğu Dalı (Dal kod: 103) | 6205 - Hemşirelik-Ebelik-Sağlık Memurluğu - Ebelik-Hemşirelik Dalı (Dal kod: 104);abcc01ce-42cd-ed11-811c-a0369f7d1486
2023;5;105014056;T.C. Sağlık Bakanlığı Trabzon Fatih Devlet Hastanesi;Hemşire;Trabzon;Ortaogretim;1;;91.86;91.86;"2125;6205;6205;6205";2125 - Aşağıdaki ortaöğretim programlarından birinden mezun olmak. | 6205 - Hemşirelik-Ebelik-Sağlık Memurluğu - Hemşirelik Dalı (Dal kod: 101) | 6205 - Hemşirelik-Ebelik-Sağlık Memurluğu - Sağlık Memurluğu Dalı (Dal kod: 103) | 6205 - Hemşirelik-Ebelik-Sağlık Memurluğu - Ebelik-Hemşirelik Dalı (Dal kod: 104);88cb01ce-42cd-ed11-811c-a0369f7d1486
2023;5;105010108;Adana Ceyhan 5 Nolu Acil Sağlık Hizmetleri İstasyonu;Sağlık Teknisyeni (İlk ve Acil Yardım);Adana;Ortaogretim;1;;90.517;90.517;"2087;6201";2087 - Aşağıdaki ortaöğretim programlarından birinden mezun olmak. | 6201 - Acil Sağlık Hizmetleri - Acil Tıp Teknisyenliği Dalı (Dal kod: 101);48b401ce-42cd-ed11-811c-a0369f7d1486
2023;5;105010822;T.C. Sağlık Bakanlığı Ezine Devlet Hastanesi;Hemşire;Çanakkale;Ortaogretim;1;;90.148;90.148;"2125;6205;6205;6205";2125 - Aşağıdaki ortaöğretim programlarından birinden mezun olmak. | 6205 - Hemşirelik-Ebelik-Sağlık Memurluğu - Hemşirelik Dalı (Dal kod: 101) | 6205 - Hemşirelik-Ebelik-Sağlık Memurluğu - Sağlık Memurluğu Dalı (Dal kod: 103) | 6205 - Hemşirelik-Ebelik-Sağlık Memurluğu - Ebelik-Hemşirelik Dalı (Dal kod: 104);15ba01ce-42cd-ed11-811c-a0369f7d1486
2023;5;105013622;T.C. Sağlık Bakanlığı Samsun Eğitim ve Araştırma Hastanesi;Hemşire;Samsun;Ortaogretim;2;;89.846;90.202;"2125;6205;6205;6205";2125 - Aşağıdaki ortaöğretim programlarından birinden mezun olmak. | 6205 - Hemşirelik-Ebelik-Sağlık Memurluğu - Hemşirelik Dalı (Dal kod: 101) | 6205 - Hemşirelik-Ebelik-Sağlık Memurluğu - Sağlık Memurluğu Dalı (Dal kod: 103) | 6205 - Hemşirelik-Ebelik-Sağlık Memurluğu - Ebelik-Hemşirelik Dalı (Dal kod: 104);dec901ce-42cd-ed11-811c-a0369f7d1486
2023;5;105012614;T.C. Sağlık Bakanlığı Torbalı Devlet Hastanesi;Hemşire;İzmir;Ortaogretim;1;;89.788;89.788;"2125;6205;6205;6205";2125 - Aşağıdaki ortaöğretim programlarından birinden mezun olmak. | 6205 - Hemşirelik-Ebelik-Sağlık Memurluğu - Hemşirelik Dalı (Dal kod: 101) | 6205 - Hemşirelik-Ebelik-Sağlık Memurluğu - Sağlık Memurluğu Dalı (Dal kod: 103) | 6205 - Hemşirelik-Ebelik-Sağlık Memurluğu - Ebelik-Hemşirelik Dalı (Dal kod: 104);9ac201ce-42cd-ed11-811c-a0369f7d1486
2023;5;105013286;T.C. Sağlık Bakanlığı Akhisar Mustafa Kirazoğlu Devlet Hastanesi;Hemşire;Manisa;Ortaogretim;1;;89.597;89.597;"2125;6205;6205;6205";2125 - Aşağıdaki ortaöğretim programlarından birinden mezun olmak. | 6205 - Hemşirelik-Ebelik-Sağlık Memurluğu - Hemşirelik Dalı (Dal kod: 101) | 6205 - Hemşirelik-Ebelik-Sağlık Memurluğu - Sağlık Memurluğu Dalı (Dal kod: 103) | 6205 - Hemşirelik-Ebelik-Sağlık Memurluğu - Ebelik-Hemşirelik Dalı (Dal kod: 104);7dc701ce-42cd-ed11-811c-a0369f7d1486
