yil;donem;kadro_kodu;kurum;unvan;il;ogrenim;kontenjan;bos_kadro;min_puan;max_puan;nitelik_kodlari;nitelikler;kadro_guid
2016;7;190161523;Yozgat Ağız Ve Diş Sağlığı Merkezi;Sağlık Memuru;Yozgat;Ortaogretim;1;;89.081;89.081;"2093;6204";2093 - Aşağıdaki ortaöğretim programlarından birinden mezun olmak. | 6204 - Diş Protez - Diş Protez Teknisyenliği Dalı (Dal kod: 101);4bdaf8e0-f39c-e611-80cc-a0369f7d1d82
2016;7;190160537;Gaziantep Şehitkamil Ağız ve Diş Sağlığı Merkezi;Sağlık Memuru;Gaziantep;Ortaogretim;1;;85.44;85.44;"2093;6204";2093 - Aşağıdaki ortaöğretim programlarından birinden mezun olmak. | 6204 - Diş Protez - Diş Protez Teknisyenliği Dalı (Dal kod: 101);89d3f8e0-f39c-e611-80cc-a0369f7d1d82
2016;7;190161033;Kütahya Ağız ve Diş Sağlığı Merkezi;Sağlık Memuru;Kütahya;Ortaogretim;1;;85.03;85.03;"2097;6207";2097 - Aşağıdaki ortaöğretim programlarından birinden mezun olmak. | 6207 - Radyoloji - Radyoloji Teknisyenliği Dalı (Dal kod: 101);bdd6f8e0-f39c-e611-80cc-a0369f7d1d82
2016;7;190161273;Şanlıurfa Ağız ve Diş Sağlığı Hastanesi;Sağlık Memuru;Şanlıurfa;Ortaogretim;2;;84.941;86.992;"2093;6204";2093 - Aşağıdaki ortaöğretim programlarından birinden mezun olmak. | 6204 - Diş Protez - Diş Protez Teknisyenliği Dalı (Dal kod: 101);86d9f8e0-f39c-e611-80cc-a0369f7d1d82
2016;7;190160905;Kars Ağız ve Diş Sağlığı Merkezi;Sağlık Memuru;Kars;Ortaogretim;1;;84.797;84.797;"2093;6204";2093 - Aşağıdaki ortaöğretim programlarından birinden mezun olmak. | 6204 - Diş Protez - Diş Protez Teknisyenliği Dalı (Dal kod: 101);e5d5f8e0-f39c-e611-80cc-a0369f7d1d82
2016;7;190160337;Diyarbakır Ağız ve Diş Sağlığı Merkezi;Sağlık Memuru;Diyarbakır;Ortaogretim;1;;84.737;84.737;"2093;6204";2093 - Aşağıdaki ortaöğretim programlarından birinden mezun olmak. | 6204 - Diş Protez - Diş Protez Teknisyenliği Dalı (Dal kod: 101);07d2f8e0-f39c-e611-80cc-a0369f7d1d82
2016;7;190161117;Muş Ağız Ve Diş Sağlığı Merkezi;Sağlık Memuru;Muş;Ortaogretim;1;;84.458;84.458;"2093;6204";2093 - Aşağıdaki ortaöğretim programlarından birinden mezun olmak. | 6204 - Diş Protez - Diş Protez Teknisyenliği Dalı (Dal kod: 101);64d7f8e0-f39c-e611-80cc-a0369f7d1d82
2016;7;190160703;İstanbul Güngören Ağız Ve Diş Sağlığı Merkezi;Sağlık Memuru;İstanbul;Ortaogretim;1;;84.453;84.453;"2093;6204";2093 - Aşağıdaki ortaöğretim programlarından birinden mezun olmak. | 6204 - Diş Protez - Diş Protez Teknisyenliği Dalı (Dal kod: 101);5ed4f8e0-f39c-e611-80cc-a0369f7d1d82
2016;7;190160183;Batman Ağız ve Diş Sağlığı Merkezi;Sağlık Memuru;Batman;Ortaogretim;1;;84.415;84.415;"2093;6204";2093 - Aşağıdaki ortaöğretim programlarından birinden mezun olmak. | 6204 - Diş Protez - Diş Protez Teknisyenliği Dalı (Dal kod: 101);bedaf8e0-f39c-e611-80cc-a0369f7d1d82
2016;7;190160383;Elazığ Ruh Sağlığı ve Hastalıkları Hastanesi;Hemşire;Elazığ;Ortaogretim;1;;83.859;83.859;"2125;6205;6205;6205";2125 - Aşağıdaki ortaöğretim programlarından birinden mezun olmak. | 6205 - Hemşirelik-Ebelik-Sağlık Memurluğu - Hemşirelik Dalı (Dal kod: 101) | 6205 - Hemşirelik-Ebelik-Sağlık Memurluğu - Sağlık Memurluğu Dalı (Dal kod: 103) | 6205 - Hemşirelik-Ebelik-Sağlık Memurluğu - Ebelik-Hemşirelik Dalı (Dal kod: 104);65d2f8e0-f39c-e611-80cc-a0369f7d1d82
