yil;donem;kadro_kodu;kurum;unvan;il;ogrenim;kontenjan;bos_kadro;min_puan;max_puan;nitelik_kodlari;nitelikler;kadro_guid
2016;1;190090003;Dışişleri Bakanlığı;Hizmetli;Ankara;Ortaogretim;15;;95.663;97.838;"2001;7225";2001 - Herhangi bir ortaöğretim programından mezun olmak. | 7225 - Güvenlik Tahkikatının Olumlu Sonuçlanması.;0a9ca43e-5638-e611-80c6-a0369f7d1486
2016;1;190940003;Lüleburgaz Belediye Başkanlığı;Zabıta Memuru;Kırklareli;Ortaogretim;10;;95.461;98.731;"2001;7300";2001 - Herhangi bir ortaöğretim programından mezun olmak. | 7300 - Bu kadro/pozisyonda vardiya sistemi uygulanmaktadır.;97a1a43e-5638-e611-80c6-a0369f7d1486
2016;1;110720001;Marmara Üniversitesi;Şoför;İstanbul;Ortaogretim;2;;95.423;98.521;"2001;6506;6519;7302";2001 - Herhangi bir ortaöğretim programından mezun olmak. | 6506 - B sınıfı sürücü belgesine sahip olmak | 6519 - İstenilen Sınıftaki Sürücü Belgesine En Az (5) Yıldır Sahip olmak. | 7302 - Bakınız Başvurma Özel Şartları Bölümü Şoför;eda0a43e-5638-e611-80c6-a0369f7d1486
2016;1;190940001;Lüleburgaz Belediye Başkanlığı;İtfaiye Eri;Kırklareli;Ortaogretim;6;;94.895;99.557;"2001;7300;7359";2001 - Herhangi bir ortaöğretim programından mezun olmak. | 7300 - Bu kadro/pozisyonda vardiya sistemi uygulanmaktadır. | 7359 - (Bakınız Başvurma Özel Şartları Bölümü İtfaiye Eri).;96a1a43e-5638-e611-80c6-a0369f7d1486
2016;1;190900009;Yükseköğretim Kurulu Başkanlığı;Şoför;Ankara;Ortaogretim;2;;94.032;94.399;"2001;6506;6519;7302";2001 - Herhangi bir ortaöğretim programından mezun olmak. | 6506 - B sınıfı sürücü belgesine sahip olmak | 6519 - İstenilen Sınıftaki Sürücü Belgesine En Az (5) Yıldır Sahip olmak. | 7302 - Bakınız Başvurma Özel Şartları Bölümü Şoför;1a9ca43e-5638-e611-80c6-a0369f7d1486
2016;1;110090003;Amasya Üniversitesi;Kaloriferci;Amasya;Ortaogretim;1;;93.489;93.489;"2001;6251;6297;6661;6663;7347";2001 - Herhangi bir ortaöğretim programından mezun olmak. | 6251 - M.E.B.'Dan Onaylı Doğalgaz Kalorifer Ateşçiliği Sertifikası Sahibi olmak. | 6297 - M.E.B.'Dan Onaylı Kalorifer Ateşçiliği Sertifikası Sahibi olmak. | 6661 - 3308 Sayılı Kanuna Göre Kalorifercilik Dalında Ustalık Belgesine Sahip olmak. | 6663 - 3308 Sayılı Kanuna Göre Kalorifercilik Dalında Kalfalık Belgesine Sahip olmak. | 7347 - (Bakınız Başvurma Özel Şartları Bölümü Kaloriferci).;059ba43e-5638-e611-80c6-a0369f7d1486
2016;1;190670001;Devlet Opera ve Balesi Genel Müdürlüğü;Şoför;İstanbul;Ortaogretim;1;;93.092;93.092;"2001;6510;7302";2001 - Herhangi bir ortaöğretim programından mezun olmak. | 6510 - C sınıfı sürücü belgesine sahip olmak | 7302 - Bakınız Başvurma Özel Şartları Bölümü Şoför;f1a0a43e-5638-e611-80c6-a0369f7d1486
2016;1;110090001;Amasya Üniversitesi;Kaloriferci;Amasya;Ortaogretim;1;;92.77;92.77;"2001;6251;6297;6661;6663;7347";2001 - Herhangi bir ortaöğretim programından mezun olmak. | 6251 - M.E.B.'Dan Onaylı Doğalgaz Kalorifer Ateşçiliği Sertifikası Sahibi olmak. | 6297 - M.E.B.'Dan Onaylı Kalorifer Ateşçiliği Sertifikası Sahibi olmak. | 6661 - 3308 Sayılı Kanuna Göre Kalorifercilik Dalında Ustalık Belgesine Sahip olmak. | 6663 - 3308 Sayılı Kanuna Göre Kalorifercilik Dalında Kalfalık Belgesine Sahip olmak. | 7347 - (Bakınız Başvurma Özel Şartları Bölümü Kaloriferci).;049ba43e-5638-e611-80c6-a0369f7d1486
2016;1;110450005;Giresun Üniversitesi;Kaloriferci;Giresun;Ortaogretim;1;;92.616;92.616;"2001;6251;6297;6661;6663;7347";2001 - Herhangi bir ortaöğretim programından mezun olmak. | 6251 - M.E.B.'Dan Onaylı Doğalgaz Kalorifer Ateşçiliği Sertifikası Sahibi olmak. | 6297 - M.E.B.'Dan Onaylı Kalorifer Ateşçiliği Sertifikası Sahibi olmak. | 6661 - 3308 Sayılı Kanuna Göre Kalorifercilik Dalında Ustalık Belgesine Sahip olmak. | 6663 - 3308 Sayılı Kanuna Göre Kalorifercilik Dalında Kalfalık Belgesine Sahip olmak. | 7347 - (Bakınız Başvurma Özel Şartları Bölümü Kaloriferci).;739fa43e-5638-e611-80c6-a0369f7d1486
2016;1;110450003;Giresun Üniversitesi;Kaloriferci;Giresun;Ortaogretim;1;;91.959;91.959;"2001;6251;6297;6661;6663;7347";2001 - Herhangi bir ortaöğretim programından mezun olmak. | 6251 - M.E.B.'Dan Onaylı Doğalgaz Kalorifer Ateşçiliği Sertifikası Sahibi olmak. | 6297 - M.E.B.'Dan Onaylı Kalorifer Ateşçiliği Sertifikası Sahibi olmak. | 6661 - 3308 Sayılı Kanuna Göre Kalorifercilik Dalında Ustalık Belgesine Sahip olmak. | 6663 - 3308 Sayılı Kanuna Göre Kalorifercilik Dalında Kalfalık Belgesine Sahip olmak. | 7347 - (Bakınız Başvurma Özel Şartları Bölümü Kaloriferci).;729fa43e-5638-e611-80c6-a0369f7d1486
