yil;donem;kadro_kodu;kurum;unvan;il;ogrenim;kontenjan;bos_kadro;min_puan;max_puan;nitelik_kodlari;nitelikler;kadro_guid
2023;6;106010101;Sosyal Güvenlik Kurumu;Destek Personeli (Temizlik);Adana;Ortaogretim;1;0;;;2001;2001 - Herhangi bir ortaöğretim programından mezun olmak.;5cbe464d-5863-ee11-b15e-a0369f7d1d8e
2023;6;106010108;Sosyal Güvenlik Kurumu;Destek Personeli (Aşçı);Adana;Ortaogretim;1;0;;;"2117;6003;6003;6030;6057";2117 - Aşağıdaki ortaöğretim programlarından birinden mezun olmak. | 6003 - Aile ve Tüketici Hizmetleri - Beslenme ve Ev Yönetimi Dalı (Dal kod: 101) | 6003 - Aile ve Tüketici Hizmetleri - Ev Ekonomisi Dalı (Dal kod: 102) | 6030 - Konaklama ve Seyahat Hizmetleri - Turizm / Otelcilik ve Turizm Dalı (Dal kod: 101) | 6057 - Yiyecek İçecek Hizmetleri;5dbe464d-5863-ee11-b15e-a0369f7d1d8e
2023;6;106010115;Sosyal Güvenlik Kurumu;Destek Personeli (Şoför);Adana;Ortaogretim;2;0;;;"2001;6506;7300;7302";2001 - Herhangi bir ortaöğretim programından mezun olmak. | 6506 - B sınıfı sürücü belgesine sahip olmak | 7300 - Bu kadro/pozisyonda vardiya sistemi uygulanmaktadır. | 7302 - Bakınız Başvurma Özel Şartları Bölümü Şoför;5ebe464d-5863-ee11-b15e-a0369f7d1d8e
2023;6;106010122;Sosyal Güvenlik Kurumu;Destek Personeli (Bulaşıkçı);Adıyaman;Ortaogretim;1;0;;;2001;2001 - Herhangi bir ortaöğretim programından mezun olmak.;63be464d-5863-ee11-b15e-a0369f7d1d8e
2023;6;106010129;Sosyal Güvenlik Kurumu;Destek Personeli (Bulaşıkçı);Afyonkarahisar;Ortaogretim;1;0;;;2001;2001 - Herhangi bir ortaöğretim programından mezun olmak.;64be464d-5863-ee11-b15e-a0369f7d1d8e
2023;6;106010136;Sosyal Güvenlik Kurumu;Destek Personeli (Şoför);Ankara;Ortaogretim;2;0;;;"2001;6506;7300;7302";2001 - Herhangi bir ortaöğretim programından mezun olmak. | 6506 - B sınıfı sürücü belgesine sahip olmak | 7300 - Bu kadro/pozisyonda vardiya sistemi uygulanmaktadır. | 7302 - Bakınız Başvurma Özel Şartları Bölümü Şoför;6bbe464d-5863-ee11-b15e-a0369f7d1d8e
2023;6;106010143;Sosyal Güvenlik Kurumu;Destek Personeli (Temizlik);Ankara;Ortaogretim;13;0;;;2001;2001 - Herhangi bir ortaöğretim programından mezun olmak.;6cbe464d-5863-ee11-b15e-a0369f7d1d8e
2023;6;106010150;Sosyal Güvenlik Kurumu;Destek Personeli (Aşçı);Ankara;Ortaogretim;4;0;;;"2117;6003;6003;6030;6057";2117 - Aşağıdaki ortaöğretim programlarından birinden mezun olmak. | 6003 - Aile ve Tüketici Hizmetleri - Beslenme ve Ev Yönetimi Dalı (Dal kod: 101) | 6003 - Aile ve Tüketici Hizmetleri - Ev Ekonomisi Dalı (Dal kod: 102) | 6030 - Konaklama ve Seyahat Hizmetleri - Turizm / Otelcilik ve Turizm Dalı (Dal kod: 101) | 6057 - Yiyecek İçecek Hizmetleri;6dbe464d-5863-ee11-b15e-a0369f7d1d8e
2023;6;106010157;Sosyal Güvenlik Kurumu;Destek Personeli (Bulaşıkçı);Ankara;Ortaogretim;2;0;;;2001;2001 - Herhangi bir ortaöğretim programından mezun olmak.;6ebe464d-5863-ee11-b15e-a0369f7d1d8e
2023;6;106010556;Sosyal Güvenlik Kurumu;Teknisyen (Makina);Ankara;Ortaogretim;1;0;;;"2061;6033;6329";2061 - Aşağıdaki ortaöğretim programlarından birinden mezun olmak. | 6033 - Makine Teknolojisi | 6329 - Makine Ve Tasarım Teknolojisi;70be464d-5863-ee11-b15e-a0369f7d1d8e
