yil;donem;kadro_kodu;kurum;unvan;il;ogrenim;kontenjan;bos_kadro;min_puan;max_puan;nitelik_kodlari;nitelikler;kadro_guid
2014;1;110890007;Selçuk Üniversitesi;Memur;Konya;Ortaogretim;1;;96.326;96.326;2001;2001 - Herhangi bir ortaöğretim programından mezun olmak.;994b9c3e-7166-e411-b51b-14feb5cc1801
2014;1;110890005;Selçuk Üniversitesi;Memur;Konya;Ortaogretim;1;;93.738;93.738;2001;2001 - Herhangi bir ortaöğretim programından mezun olmak.;984b9c3e-7166-e411-b51b-14feb5cc1801
2014;1;110890003;Selçuk Üniversitesi;Memur;Konya;Ortaogretim;1;;93.717;93.717;2001;2001 - Herhangi bir ortaöğretim programından mezun olmak.;974b9c3e-7166-e411-b51b-14feb5cc1801
2014;1;191590071;Türkiye Kamu Hastaneleri Kurumu Başkanlığı;Şoför;Eskişehir;Ortaogretim;1;;93.637;93.637;"2001;6505";2001 - Herhangi bir ortaöğretim programından mezun olmak. | 6505 - B Sınıfı Sürücü Belgesi Sahibi olmak.;dd4c9c3e-7166-e411-b51b-14feb5cc1801
2014;1;191590077;Türkiye Kamu Hastaneleri Kurumu Başkanlığı;Şoför;İzmir;Ortaogretim;1;;93.568;93.568;"2001;6505";2001 - Herhangi bir ortaöğretim programından mezun olmak. | 6505 - B Sınıfı Sürücü Belgesi Sahibi olmak.;e04c9c3e-7166-e411-b51b-14feb5cc1801
2014;1;190670003;Devlet Opera ve Balesi Genel Müdürlüğü;Bekçi;Samsun;Ortaogretim;1;;93.126;93.126;2001;2001 - Herhangi bir ortaöğretim programından mezun olmak.;694c9c3e-7166-e411-b51b-14feb5cc1801
2014;1;190940007;Gebze Belediyesi Başkanlığı;Zabıta Memuru;Kocaeli;Ortaogretim;8;;92.529;94.287;2001;2001 - Herhangi bir ortaöğretim programından mezun olmak.;6e4c9c3e-7166-e411-b51b-14feb5cc1801
2014;1;191220001;Tarım İşletmeleri Genel Müdürlüğü;Puantör;Şanlıurfa;Ortaogretim;1;;92.267;92.267;2001;2001 - Herhangi bir ortaöğretim programından mezun olmak.;734c9c3e-7166-e411-b51b-14feb5cc1801
2014;1;191590085;Türkiye Kamu Hastaneleri Kurumu Başkanlığı;Şoför;Malatya;Ortaogretim;1;;92.202;92.202;"2001;6505";2001 - Herhangi bir ortaöğretim programından mezun olmak. | 6505 - B Sınıfı Sürücü Belgesi Sahibi olmak.;e44c9c3e-7166-e411-b51b-14feb5cc1801
2014;1;191590069;Türkiye Kamu Hastaneleri Kurumu Başkanlığı;Şoför;Erzurum;Ortaogretim;1;;91.988;91.988;"2001;6505";2001 - Herhangi bir ortaöğretim programından mezun olmak. | 6505 - B Sınıfı Sürücü Belgesi Sahibi olmak.;dc4c9c3e-7166-e411-b51b-14feb5cc1801
2014;1;191590089;Türkiye Kamu Hastaneleri Kurumu Başkanlığı;Şoför;Mardin;Ortaogretim;1;;91.841;91.841;"2001;6505";2001 - Herhangi bir ortaöğretim programından mezun olmak. | 6505 - B Sınıfı Sürücü Belgesi Sahibi olmak.;e64c9c3e-7166-e411-b51b-14feb5cc1801
2014;1;190940003;Çadırkaya Belediyesi Başkanlığı;Zabıta Memuru;Erzincan;Ortaogretim;1;;91.789;91.789;"2001;7300";2001 - Herhangi bir ortaöğretim programından mezun olmak. | 7300 - Bu kadro/pozisyonda vardiya sistemi uygulanmaktadır.;6c4c9c3e-7166-e411-b51b-14feb5cc1801
2014;1;191590055;Türkiye Kamu Hastaneleri Kurumu Başkanlığı;Şoför;Adana;Ortaogretim;1;;91.699;91.699;"2001;6505";2001 - Herhangi bir ortaöğretim programından mezun olmak. | 6505 - B Sınıfı Sürücü Belgesi Sahibi olmak.;d54c9c3e-7166-e411-b51b-14feb5cc1801
2014;1;191590057;Türkiye Kamu Hastaneleri Kurumu Başkanlığı;Şoför;Afyonkarahisar;Ortaogretim;1;;91.648;91.648;"2001;6505";2001 - Herhangi bir ortaöğretim programından mezun olmak. | 6505 - B Sınıfı Sürücü Belgesi Sahibi olmak.;d64c9c3e-7166-e411-b51b-14feb5cc1801
2014;1;191590349;Türkiye Kamu Hastaneleri Kurumu Başkanlığı;Şoför;İstanbul;Ortaogretim;3;;91.571;92.648;"2001;6505";2001 - Herhangi bir ortaöğretim programından mezun olmak. | 6505 - B Sınıfı Sürücü Belgesi Sahibi olmak.;684d9c3e-7166-e411-b51b-14feb5cc1801
2014;1;190140011;Milli Eğitim Bakanlığı;Hizmetli;Ankara;Ortaogretim;14;;91.533;94.586;2001;2001 - Herhangi bir ortaöğretim programından mezun olmak.;a84b9c3e-7166-e411-b51b-14feb5cc1801
2014;1;110990001;Yalova Üniversitesi;Şoför;Yalova;Ortaogretim;1;;91.518;91.518;"2001;6511";2001 - Herhangi bir ortaöğretim programından mezun olmak. | 6511 - E Sınıfı Sürücü Belgesi Sahibi olmak.;9c4b9c3e-7166-e411-b51b-14feb5cc1801
2014;1;190940005;Çadırkaya Belediyesi Başkanlığı;İtfaiye Eri;Erzincan;Ortaogretim;1;;91.456;91.456;"2001;7359";2001 - Herhangi bir ortaöğretim programından mezun olmak. | 7359 - (Bakınız Başvurma Özel Şartları Bölümü İtfaiye Eri).;6d4c9c3e-7166-e411-b51b-14feb5cc1801
2014;1;191590345;Türkiye Kamu Hastaneleri Kurumu Başkanlığı;Şoför;İstanbul;Ortaogretim;2;;91.445;91.479;"2001;6505";2001 - Herhangi bir ortaöğretim programından mezun olmak. | 6505 - B Sınıfı Sürücü Belgesi Sahibi olmak.;664d9c3e-7166-e411-b51b-14feb5cc1801
2014;1;191590065;Türkiye Kamu Hastaneleri Kurumu Başkanlığı;Şoför;Denizli;Ortaogretim;1;;91.17;91.17;"2001;6505";2001 - Herhangi bir ortaöğretim programından mezun olmak. | 6505 - B Sınıfı Sürücü Belgesi Sahibi olmak.;da4c9c3e-7166-e411-b51b-14feb5cc1801
2014;1;191590067;Türkiye Kamu Hastaneleri Kurumu Başkanlığı;Şoför;Düzce;Ortaogretim;1;;91.055;91.055;"2001;6505";2001 - Herhangi bir ortaöğretim programından mezun olmak. | 6505 - B Sınıfı Sürücü Belgesi Sahibi olmak.;db4c9c3e-7166-e411-b51b-14feb5cc1801
2014;1;191590093;Türkiye Kamu Hastaneleri Kurumu Başkanlığı;Şoför;Ordu;Ortaogretim;1;;91.047;91.047;"2001;6505";2001 - Herhangi bir ortaöğretim programından mezun olmak. | 6505 - B Sınıfı Sürücü Belgesi Sahibi olmak.;e84c9c3e-7166-e411-b51b-14feb5cc1801
2014;1;191590079;Türkiye Kamu Hastaneleri Kurumu Başkanlığı;Şoför;Karabük;Ortaogretim;1;;90.995;90.995;"2001;6505";2001 - Herhangi bir ortaöğretim programından mezun olmak. | 6505 - B Sınıfı Sürücü Belgesi Sahibi olmak.;e14c9c3e-7166-e411-b51b-14feb5cc1801
2014;1;191590063;Türkiye Kamu Hastaneleri Kurumu Başkanlığı;Şoför;Bolu;Ortaogretim;1;;90.955;90.955;"2001;6505";2001 - Herhangi bir ortaöğretim programından mezun olmak. | 6505 - B Sınıfı Sürücü Belgesi Sahibi olmak.;d94c9c3e-7166-e411-b51b-14feb5cc1801
