yil;donem;kadro_kodu;kurum;unvan;il;ogrenim;kontenjan;bos_kadro;min_puan;max_puan;nitelik_kodlari;nitelikler;kadro_guid
2025;5;105011270;T.C. Sağlık Bakanlığı Kovancılar Devlet Hastanesi;Hemşire;Elazığ;Ortaogretim;1;;92.069;92.069;"2125;6205;6205;6205";2125 - Aşağıdaki ortaöğretim programlarından birinden mezun olmak. | 6205 - Hemşirelik-Ebelik-Sağlık Memurluğu - Hemşirelik Dalı (Dal kod: 101) | 6205 - Hemşirelik-Ebelik-Sağlık Memurluğu - Sağlık Memurluğu Dalı (Dal kod: 103) | 6205 - Hemşirelik-Ebelik-Sağlık Memurluğu - Ebelik-Hemşirelik Dalı (Dal kod: 104);6da68ed9-0c9d-f011-b17e-a0369f7d1d8e
2025;5;105014154;T.C. Sağlık Bakanlığı Şırnak Devlet Hastanesi;Hemşire;Şırnak;Ortaogretim;1;;91.467;91.467;"2125;6205;6205;6205";2125 - Aşağıdaki ortaöğretim programlarından birinden mezun olmak. | 6205 - Hemşirelik-Ebelik-Sağlık Memurluğu - Hemşirelik Dalı (Dal kod: 101) | 6205 - Hemşirelik-Ebelik-Sağlık Memurluğu - Sağlık Memurluğu Dalı (Dal kod: 103) | 6205 - Hemşirelik-Ebelik-Sağlık Memurluğu - Ebelik-Hemşirelik Dalı (Dal kod: 104);e6b58ed9-0c9d-f011-b17e-a0369f7d1d8e
2025;5;105011284;T.C. Sağlık Bakanlığı Erzincan Mengücek Gazi Eğitim ve Araştırma Hastanesi;Hemşire;Erzincan;Ortaogretim;1;;90.344;90.344;"2125;6205;6205;6205";2125 - Aşağıdaki ortaöğretim programlarından birinden mezun olmak. | 6205 - Hemşirelik-Ebelik-Sağlık Memurluğu - Hemşirelik Dalı (Dal kod: 101) | 6205 - Hemşirelik-Ebelik-Sağlık Memurluğu - Sağlık Memurluğu Dalı (Dal kod: 103) | 6205 - Hemşirelik-Ebelik-Sağlık Memurluğu - Ebelik-Hemşirelik Dalı (Dal kod: 104);a3a68ed9-0c9d-f011-b17e-a0369f7d1d8e
2025;5;105013734;Samsun İl Sağlık Müdürlüğü;Teknisyen;Samsun;Ortaogretim;1;;90.162;90.162;"2023;6013;6014;6014";2023 - Aşağıdaki ortaöğretim programlarından birinden mezun olmak. | 6013 - Elektrik-Elektronik Teknolojisi | 6014 - Endüstriyel Otomasyon Teknolojileri - Endüstriyel Kontrol Dalı (Dal kod: 1) | 6014 - Endüstriyel Otomasyon Teknolojileri - Endüstriyel Elektronik Dalı (Dal kod: 102);a0b28ed9-0c9d-f011-b17e-a0369f7d1d8e
2025;5;105013251;T.C. Sağlık Bakanlığı Kütahya Şehir Hastanesi;Hemşire;Kütahya;Ortaogretim;1;;89.977;89.977;"2125;6205;6205;6205";2125 - Aşağıdaki ortaöğretim programlarından birinden mezun olmak. | 6205 - Hemşirelik-Ebelik-Sağlık Memurluğu - Hemşirelik Dalı (Dal kod: 101) | 6205 - Hemşirelik-Ebelik-Sağlık Memurluğu - Sağlık Memurluğu Dalı (Dal kod: 103) | 6205 - Hemşirelik-Ebelik-Sağlık Memurluğu - Ebelik-Hemşirelik Dalı (Dal kod: 104);98af8ed9-0c9d-f011-b17e-a0369f7d1d8e
2025;5;105014021;T.C. Sağlık Bakanlığı Şanlıurfa Mehmet Akif İnan Eğitim ve Araştırma Hastanesi (Şanlıurfa Şehir Hastanesi);Sağlık Teknisyeni (Anestezi);Şanlıurfa;Ortaogretim;1;;89.695;89.695;"2089;6202";2089 - Aşağıdaki ortaöğretim programlarından birinden mezun olmak. | 6202 - Anestezi ve Reanimasyon - Anestezi Teknisyenliği Dalı (Dal kod: 101);29b48ed9-0c9d-f011-b17e-a0369f7d1d8e
2025;5;105010745;T.C. Sağlık Bakanlığı Artvin Devlet Hastanesi;Hemşire;Artvin;Ortaogretim;1;;89.664;89.664;"2125;6205;6205;6205";2125 - Aşağıdaki ortaöğretim programlarından birinden mezun olmak. | 6205 - Hemşirelik-Ebelik-Sağlık Memurluğu - Hemşirelik Dalı (Dal kod: 101) | 6205 - Hemşirelik-Ebelik-Sağlık Memurluğu - Sağlık Memurluğu Dalı (Dal kod: 103) | 6205 - Hemşirelik-Ebelik-Sağlık Memurluğu - Ebelik-Hemşirelik Dalı (Dal kod: 104);38a38ed9-0c9d-f011-b17e-a0369f7d1d8e
2025;5;105011221;T.C. Sağlık Bakanlığı Akçakoca Devlet Hastanesi;Hemşire;Düzce;Ortaogretim;1;;89.623;89.623;"2125;6205;6205;6205";2125 - Aşağıdaki ortaöğretim programlarından birinden mezun olmak. | 6205 - Hemşirelik-Ebelik-Sağlık Memurluğu - Hemşirelik Dalı (Dal kod: 101) | 6205 - Hemşirelik-Ebelik-Sağlık Memurluğu - Sağlık Memurluğu Dalı (Dal kod: 103) | 6205 - Hemşirelik-Ebelik-Sağlık Memurluğu - Ebelik-Hemşirelik Dalı (Dal kod: 104);a1b68ed9-0c9d-f011-b17e-a0369f7d1d8e
2025;5;105013041;T.C. Sağlık Bakanlığı Delice İlçe Devlet Hastanesi;Hemşire;Kırıkkale;Ortaogretim;1;;89.613;89.613;"2125;6205;6205;6205";2125 - Aşağıdaki ortaöğretim programlarından birinden mezun olmak. | 6205 - Hemşirelik-Ebelik-Sağlık Memurluğu - Hemşirelik Dalı (Dal kod: 101) | 6205 - Hemşirelik-Ebelik-Sağlık Memurluğu - Sağlık Memurluğu Dalı (Dal kod: 103) | 6205 - Hemşirelik-Ebelik-Sağlık Memurluğu - Ebelik-Hemşirelik Dalı (Dal kod: 104);b1b58ed9-0c9d-f011-b17e-a0369f7d1d8e
2025;5;105011907;İstanbul Kartal 1 Nolu Acıl Sağlık Hizmetleri Istasyonu;Sağlık Teknisyeni (İlk ve Acil Yardım);İstanbul;Ortaogretim;1;;89.412;89.412;"2087;6201";2087 - Aşağıdaki ortaöğretim programlarından birinden mezun olmak. | 6201 - Acil Sağlık Hizmetleri - Acil Tıp Teknisyenliği Dalı (Dal kod: 101);69aa8ed9-0c9d-f011-b17e-a0369f7d1d8e
2025;5;105013426;Muş Hasköy 1 Nolu Acil Sağlık Hizmetleri İstasyonu;Sağlık Teknisyeni (İlk ve Acil Yardım);Muş;Ortaogretim;1;;89.34;89.34;"2087;6201";2087 - Aşağıdaki ortaöğretim programlarından birinden mezun olmak. | 6201 - Acil Sağlık Hizmetleri - Acil Tıp Teknisyenliği Dalı (Dal kod: 101);23b18ed9-0c9d-f011-b17e-a0369f7d1d8e
2025;5;105010381;T.C. Sağlık Bakanlığı Ankara Tepebaşı Ağız ve Diş Sağlığı Hastanesi;Teknisyen;Ankara;Ortaogretim;1;;89.188;89.188;;;92a28ed9-0c9d-f011-b17e-a0369f7d1d8e
2025;5;105012684;T.C. Sağlık Bakanlığı İzmir Alsancak Nevvar Salih İşgören Devlet Hastanesi;Hemşire;İzmir;Ortaogretim;1;;89.013;89.013;"2125;6205;6205;6205";2125 - Aşağıdaki ortaöğretim programlarından birinden mezun olmak. | 6205 - Hemşirelik-Ebelik-Sağlık Memurluğu - Hemşirelik Dalı (Dal kod: 101) | 6205 - Hemşirelik-Ebelik-Sağlık Memurluğu - Sağlık Memurluğu Dalı (Dal kod: 103) | 6205 - Hemşirelik-Ebelik-Sağlık Memurluğu - Ebelik-Hemşirelik Dalı (Dal kod: 104);89ad8ed9-0c9d-f011-b17e-a0369f7d1d8e
2025;5;105013958;T.C. Sağlık Bakanlığı Şanlıurfa Balıklıgöl Devlet Hastanesi (Şanlıurfa Şehir Hastanesi);Sağlık Teknisyeni (Anestezi);Şanlıurfa;Ortaogretim;1;;88.896;88.896;"2089;6202";2089 - Aşağıdaki ortaöğretim programlarından birinden mezun olmak. | 6202 - Anestezi ve Reanimasyon - Anestezi Teknisyenliği Dalı (Dal kod: 101);20b48ed9-0c9d-f011-b17e-a0369f7d1d8e
2025;5;105010850;T.C. Sağlık Bakanlığı Balıkesir Atatürk Şehir Hastanesi;Hemşire;Balıkesir;Ortaogretim;1;;88.869;88.869;"2125;6205;6205;6205";2125 - Aşağıdaki ortaöğretim programlarından birinden mezun olmak. | 6205 - Hemşirelik-Ebelik-Sağlık Memurluğu - Hemşirelik Dalı (Dal kod: 101) | 6205 - Hemşirelik-Ebelik-Sağlık Memurluğu - Sağlık Memurluğu Dalı (Dal kod: 103) | 6205 - Hemşirelik-Ebelik-Sağlık Memurluğu - Ebelik-Hemşirelik Dalı (Dal kod: 104);d6a38ed9-0c9d-f011-b17e-a0369f7d1d8e
2025;5;105011263;T.C. Sağlık Bakanlığı Karakoçan Devlet Hastanesi;Hemşire;Elazığ;Ortaogretim;1;;88.839;88.839;"2125;6205;6205;6205";2125 - Aşağıdaki ortaöğretim programlarından birinden mezun olmak. | 6205 - Hemşirelik-Ebelik-Sağlık Memurluğu - Hemşirelik Dalı (Dal kod: 101) | 6205 - Hemşirelik-Ebelik-Sağlık Memurluğu - Sağlık Memurluğu Dalı (Dal kod: 103) | 6205 - Hemşirelik-Ebelik-Sağlık Memurluğu - Ebelik-Hemşirelik Dalı (Dal kod: 104);6ca68ed9-0c9d-f011-b17e-a0369f7d1d8e
2025;5;105012845;T.C. Sağlık Bakanlığı Kahramanmaraş Necip Fazıl Şehir Hastanesi;Sağlık Teknisyeni (Anestezi);Kahramanmaraş;Ortaogretim;1;;88.794;88.794;"2089;6202";2089 - Aşağıdaki ortaöğretim programlarından birinden mezun olmak. | 6202 - Anestezi ve Reanimasyon - Anestezi Teknisyenliği Dalı (Dal kod: 101);79b08ed9-0c9d-f011-b17e-a0369f7d1d8e
