yil;donem;kadro_kodu;kurum;unvan;il;ogrenim;kontenjan;bos_kadro;min_puan;max_puan;nitelik_kodlari;nitelikler;kadro_guid
2020;14;161550104;T.C. Sağlık Bakanlığı Besni Devlet Hastanesi;Sağlık Teknisyeni (Anestezi);Adıyaman;Ortaogretim;1;;97.571;97.571;"2089;6202";2089 - Aşağıdaki ortaöğretim programlarından birinden mezun olmak. | 6202 - Anestezi ve Reanimasyon - Anestezi Teknisyenliği Dalı (Dal kod: 101);d8df50af-b233-eb11-80fa-a0369f7d1484
2020;14;138110104;T.C. Sağlık Bakanlığı Gümüşhane Devlet Hastanesi;Hemşire;Gümüşhane;Ortaogretim;1;;89.523;89.523;"2125;6205;6205;6205";2125 - Aşağıdaki ortaöğretim programlarından birinden mezun olmak. | 6205 - Hemşirelik-Ebelik-Sağlık Memurluğu - Hemşirelik Dalı (Dal kod: 101) | 6205 - Hemşirelik-Ebelik-Sağlık Memurluğu - Sağlık Memurluğu Dalı (Dal kod: 103) | 6205 - Hemşirelik-Ebelik-Sağlık Memurluğu - Ebelik-Hemşirelik Dalı (Dal kod: 104);9ae450af-b233-eb11-80fa-a0369f7d1484
2020;14;162300104;T.C. Sağlık Bakanlığı Osmaniye Devlet Hastanesi;Sağlık Teknisyeni (Röntgen);Osmaniye;Ortaogretim;1;;89.481;89.481;"2097;6207";2097 - Aşağıdaki ortaöğretim programlarından birinden mezun olmak. | 6207 - Radyoloji - Radyoloji Teknisyenliği Dalı (Dal kod: 101);72ed50af-b233-eb11-80fa-a0369f7d1484
2020;14;164686905;T.C. Sağlık Bakanlığı Kayseri Devlet Hastanesi;Hemşire;Kayseri;Ortaogretim;1;;89.397;89.397;"2125;6205;6205;6205";2125 - Aşağıdaki ortaöğretim programlarından birinden mezun olmak. | 6205 - Hemşirelik-Ebelik-Sağlık Memurluğu - Hemşirelik Dalı (Dal kod: 101) | 6205 - Hemşirelik-Ebelik-Sağlık Memurluğu - Sağlık Memurluğu Dalı (Dal kod: 103) | 6205 - Hemşirelik-Ebelik-Sağlık Memurluğu - Ebelik-Hemşirelik Dalı (Dal kod: 104);1ee750af-b233-eb11-80fa-a0369f7d1484
2020;14;172671201;Elazığ Kovancılar 2 Nolu Acil Sağlık Hizmetleri İstasyonu;Sağlık Teknisyeni (İlk ve Acil Yardım);Elazığ;Ortaogretim;1;;89.364;89.364;"2087;6201";2087 - Aşağıdaki ortaöğretim programlarından birinden mezun olmak. | 6201 - Acil Sağlık Hizmetleri - Acil Tıp Teknisyenliği Dalı (Dal kod: 101);71e350af-b233-eb11-80fa-a0369f7d1484
2020;14;156001006;T.C. Sağlık Bakanlığı Erciş Şehit Rıdvan Çevik Devlet Hastanesi;Sağlık Teknisyeni (Anestezi);Van;Ortaogretim;1;;89.197;89.197;"2089;6202";2089 - Aşağıdaki ortaöğretim programlarından birinden mezun olmak. | 6202 - Anestezi ve Reanimasyon - Anestezi Teknisyenliği Dalı (Dal kod: 101);e2eb50af-b233-eb11-80fa-a0369f7d1484
2020;14;169501005;T.C. Sağlık Bakanlığı Siverek Devlet Hastanesi;Hemşire;Şanlıurfa;Ortaogretim;1;;88.521;88.521;"2125;6205;6205;6205";2125 - Aşağıdaki ortaöğretim programlarından birinden mezun olmak. | 6205 - Hemşirelik-Ebelik-Sağlık Memurluğu - Hemşirelik Dalı (Dal kod: 101) | 6205 - Hemşirelik-Ebelik-Sağlık Memurluğu - Sağlık Memurluğu Dalı (Dal kod: 103) | 6205 - Hemşirelik-Ebelik-Sağlık Memurluğu - Ebelik-Hemşirelik Dalı (Dal kod: 104);72eb50af-b233-eb11-80fa-a0369f7d1484
2020;14;117723005;T.C. Sağlık Bakanlığı Eskişehir Yunus Emre Devlet Hastanesi;Hemşire;Eskişehir;Ortaogretim;2;;88.103;89.305;"2125;6205;6205;6205";2125 - Aşağıdaki ortaöğretim programlarından birinden mezun olmak. | 6205 - Hemşirelik-Ebelik-Sağlık Memurluğu - Hemşirelik Dalı (Dal kod: 101) | 6205 - Hemşirelik-Ebelik-Sağlık Memurluğu - Sağlık Memurluğu Dalı (Dal kod: 103) | 6205 - Hemşirelik-Ebelik-Sağlık Memurluğu - Ebelik-Hemşirelik Dalı (Dal kod: 104);12e450af-b233-eb11-80fa-a0369f7d1484
2020;14;175240104;T.C. Sağlık Bakanlığı Çeşme Alper Çizgenakat Devlet Hastanesi;Sağlık Teknisyeni (Anestezi);İzmir;Ortaogretim;1;;88.02;88.02;"2089;6202";2089 - Aşağıdaki ortaöğretim programlarından birinden mezun olmak. | 6202 - Anestezi ve Reanimasyon - Anestezi Teknisyenliği Dalı (Dal kod: 101);4fe650af-b233-eb11-80fa-a0369f7d1484
2020;14;145270105;T.C. Sağlık Bakanlığı Denizli Devlet Hastanesi;Sağlık Teknisyeni (Anestezi);Denizli;Ortaogretim;1;;88.012;88.012;"2089;6202";2089 - Aşağıdaki ortaöğretim programlarından birinden mezun olmak. | 6202 - Anestezi ve Reanimasyon - Anestezi Teknisyenliği Dalı (Dal kod: 101);0ce350af-b233-eb11-80fa-a0369f7d1484
2020;14;114830102;T.C. Sağlık Bakanlığı Ünye Devlet Hastanesi;Hemşire;Ordu;Ortaogretim;1;;87.978;87.978;"2125;6205;6205;6205";2125 - Aşağıdaki ortaöğretim programlarından birinden mezun olmak. | 6205 - Hemşirelik-Ebelik-Sağlık Memurluğu - Hemşirelik Dalı (Dal kod: 101) | 6205 - Hemşirelik-Ebelik-Sağlık Memurluğu - Sağlık Memurluğu Dalı (Dal kod: 103) | 6205 - Hemşirelik-Ebelik-Sağlık Memurluğu - Ebelik-Hemşirelik Dalı (Dal kod: 104);95e950af-b233-eb11-80fa-a0369f7d1484
2020;14;112070109;T.C. Sağlık Bakanlığı Vezirköprü Devlet Hastanesi;Sağlık Teknisyeni (Anestezi);Samsun;Ortaogretim;1;;87.719;87.719;"2089;6202";2089 - Aşağıdaki ortaöğretim programlarından birinden mezun olmak. | 6202 - Anestezi ve Reanimasyon - Anestezi Teknisyenliği Dalı (Dal kod: 101);2eea50af-b233-eb11-80fa-a0369f7d1484
2020;14;147680103;T.C. Sağlık Bakanlığı Mudanya Devlet Hastanesi;Sağlık Teknisyeni (Anestezi);Bursa;Ortaogretim;1;;87.502;87.502;"2089;6202";2089 - Aşağıdaki ortaöğretim programlarından birinden mezun olmak. | 6202 - Anestezi ve Reanimasyon - Anestezi Teknisyenliği Dalı (Dal kod: 101);84e250af-b233-eb11-80fa-a0369f7d1484
2020;14;187483001;T.C. Sağlık Bakanlığı Kocaköy İlçe Devlet Hastanesi;Hemşire;Diyarbakır;Ortaogretim;1;;87.477;87.477;"2125;6205;6205;6205";2125 - Aşağıdaki ortaöğretim programlarından birinden mezun olmak. | 6205 - Hemşirelik-Ebelik-Sağlık Memurluğu - Hemşirelik Dalı (Dal kod: 101) | 6205 - Hemşirelik-Ebelik-Sağlık Memurluğu - Sağlık Memurluğu Dalı (Dal kod: 103) | 6205 - Hemşirelik-Ebelik-Sağlık Memurluğu - Ebelik-Hemşirelik Dalı (Dal kod: 104);19e350af-b233-eb11-80fa-a0369f7d1484
