yil;donem;kadro_kodu;kurum;unvan;il;ogrenim;kontenjan;bos_kadro;min_puan;max_puan;nitelik_kodlari;nitelikler;kadro_guid
2014;2;190130003;Maliye Bakanlığı;Hizmetli;Ankara;Ortaogretim;2;;99.049;99.81;"2001;7326";2001 - Herhangi bir ortaöğretim programından mezun olmak. | 7326 - (Bakınız Başvurma Özel Şartları Bölümü Maliye Bakanlığı).;d7da518d-5d6e-e411-b51b-14feb5cc1801
2014;2;110890003;Selçuk Üniversitesi;Memur;Konya;Ortaogretim;1;;98.28;98.28;2001;2001 - Herhangi bir ortaöğretim programından mezun olmak.;b0dd518d-5d6e-e411-b51b-14feb5cc1801
2014;2;110890001;Selçuk Üniversitesi;Memur;Konya;Ortaogretim;1;;97.395;97.395;2001;2001 - Herhangi bir ortaöğretim programından mezun olmak.;afdd518d-5d6e-e411-b51b-14feb5cc1801
2014;2;190130005;Maliye Bakanlığı;Şoför;Ankara;Ortaogretim;1;;95.461;95.461;"2001;6511;7326";2001 - Herhangi bir ortaöğretim programından mezun olmak. | 6511 - E Sınıfı Sürücü Belgesi Sahibi olmak. | 7326 - (Bakınız Başvurma Özel Şartları Bölümü Maliye Bakanlığı).;d8da518d-5d6e-e411-b51b-14feb5cc1801
2014;2;191080005;Devlet Hava Meydanları İşletmesi Genel Müdürlüğü;Teknisyen;Çanakkale;Ortaogretim;1;;94.32;94.32;"2023;1491;1505;1511;1526;1568;2122;2211;2603;4238;5423;5455;5483;5495;5653;7322";2023 - Aşağıdaki ortaöğretim programlarından birinden mezun olmak. | 1491 - Elektrik Bölümü/Elektrikçilik Bölümü | 1505 - Elektrik-Elektronik Bölümü | 1511 - Elektronik Bölümü | 1526 - Elektromekanik Taşıyıcılar Bölümü | 1568 - Endüstriyel Elektronik Bölümü/Endüstriyel Otomasyon Teknolojileri (Elektronik) Bölümü/Endüstriyel Otomasyon Teknolojisi (Elektronik) Bölümü | 2122 - Monitörlük | 2211 - Otomatik Kumanda Bölümü | 2603 - Telekomünikasyon Bölümü | 4238 - Elektrik - Elektronik Teknolojisi/Elektrik-Elektronik Teknolojisi Alanı ve Dalları | 5423 - Asansör Bölümü Bölümü | 5455 - Bobinajcılık Bölümü | 5483 - Elektrik-Elektronik Teknolojisi (Otamasyon Sistemleri Dalı) | 5495 - Elektrik Tesisatçılığı Bölümü | 5653 - Radyoculuk Bölümü | 7322 - (Bakınız Başvurma Özel Şartları Bölümü Devlet Hava Meydanları İşletmesi Genel Müdürlüğü).;8bdb518d-5d6e-e411-b51b-14feb5cc1801
2014;2;191080047;Devlet Hava Meydanları İşletmesi Genel Müdürlüğü;Teknisyen;Çanakkale;Ortaogretim;1;;93.964;93.964;"2061;1835;1987;1993;2101;2666;2933;3036;3173;3648;4369;5443;5445;5447;5449;5511;5719;5771";2061 - Aşağıdaki ortaöğretim programlarından birinden mezun olmak. | 1835 - Kalıp Bölümü/Kalıpçılık Bölümü | 1987 - Makine Bölümü | 1993 - Makine Ressamlığı Bölümü | 2101 - Model Bölümü/Modelcilik Bölümü | 2666 - Tesviye Bölümü/Tesviyecilik Bölümü | 2933 - Makine Model Bölümü | 3036 - Bilgisayarlı Nümerik Kontrol (Cnc) Bölümü/Nümerik Kontrollü Makineler (Cnc) Bölümü | 3173 - Mermer Teknolojisi (Süsleme Taşçılığı) Bölümü/Mermer Teknolojisi Bölümü | 3648 - Süsleme Taşçılığı Bölümü | 4369 - Makine Teknolojisi/Makine Teknolojisi Alanı ve Dalları | 5443 - Bilgisayar Destekli Endüstriyel Modelleme (Ahşap Modelleme) Bölümü | 5445 - Bilgisayar Destekli Endüstriyel Modelleme (Bilgisayar Destekli Modelleme) Bölümü | 5447 - Bilgisayar Destekli Endüstriyel Modelleme (Metal Modelleme) Bölümü | 5449 - Bilgisayar Destekli Endüstriyel Modelleme (Plastik Modelleme) Bölümü | 5511 - Frezecilik Bölümü | 5719 - Teknik Resim (Makina) Bölümü | 5771 - Tornacılık Bölümü;8adb518d-5d6e-e411-b51b-14feb5cc1801
2014;2;110470001;Gümüşhane Üniversitesi;Kaloriferci;Gümüşhane;Ortaogretim;1;;93.82;93.82;"2001;6251;6297;6661;6663;7347";2001 - Herhangi bir ortaöğretim programından mezun olmak. | 6251 - M.E.B.'Dan Onaylı Doğalgaz Kalorifer Ateşçiliği Sertifikası Sahibi olmak. | 6297 - M.E.B.'Dan Onaylı Kalorifer Ateşçiliği Sertifikası Sahibi olmak. | 6661 - 3308 Sayılı Kanuna Göre Kalorifercilik Dalında Ustalık Belgesine Sahip olmak. | 6663 - 3308 Sayılı Kanuna Göre Kalorifercilik Dalında Kalfalık Belgesine Sahip olmak. | 7347 - (Bakınız Başvurma Özel Şartları Bölümü Kaloriferci).;7bdc518d-5d6e-e411-b51b-14feb5cc1801
2014;2;190130007;Maliye Bakanlığı;Şoför;Ankara;Ortaogretim;5;;93.483;97.193;"2001;6511;7326";2001 - Herhangi bir ortaöğretim programından mezun olmak. | 6511 - E Sınıfı Sürücü Belgesi Sahibi olmak. | 7326 - (Bakınız Başvurma Özel Şartları Bölümü Maliye Bakanlığı).;d9da518d-5d6e-e411-b51b-14feb5cc1801
2014;2;190340011;Gelir İdaresi Başkanlığı;Teknisyen;İzmir;Ortaogretim;1;;93.104;93.104;"2023;1491;1505;1511;1526;1568;2122;2211;2603;4238;5423;5455;5483;5495;5653";2023 - Aşağıdaki ortaöğretim programlarından birinden mezun olmak. | 1491 - Elektrik Bölümü/Elektrikçilik Bölümü | 1505 - Elektrik-Elektronik Bölümü | 1511 - Elektronik Bölümü | 1526 - Elektromekanik Taşıyıcılar Bölümü | 1568 - Endüstriyel Elektronik Bölümü/Endüstriyel Otomasyon Teknolojileri (Elektronik) Bölümü/Endüstriyel Otomasyon Teknolojisi (Elektronik) Bölümü | 2122 - Monitörlük | 2211 - Otomatik Kumanda Bölümü | 2603 - Telekomünikasyon Bölümü | 4238 - Elektrik - Elektronik Teknolojisi/Elektrik-Elektronik Teknolojisi Alanı ve Dalları | 5423 - Asansör Bölümü Bölümü | 5455 - Bobinajcılık Bölümü | 5483 - Elektrik-Elektronik Teknolojisi (Otamasyon Sistemleri Dalı) | 5495 - Elektrik Tesisatçılığı Bölümü | 5653 - Radyoculuk Bölümü;09dd518d-5d6e-e411-b51b-14feb5cc1801
2014;2;191080023;Devlet Hava Meydanları İşletmesi Genel Müdürlüğü;Teknisyen;Şanlıurfa;Ortaogretim;1;;92.558;92.558;"2023;1491;1505;1511;1526;1568;2122;2211;2603;4238;5423;5455;5483;5495;5653;7322";2023 - Aşağıdaki ortaöğretim programlarından birinden mezun olmak. | 1491 - Elektrik Bölümü/Elektrikçilik Bölümü | 1505 - Elektrik-Elektronik Bölümü | 1511 - Elektronik Bölümü | 1526 - Elektromekanik Taşıyıcılar Bölümü | 1568 - Endüstriyel Elektronik Bölümü/Endüstriyel Otomasyon Teknolojileri (Elektronik) Bölümü/Endüstriyel Otomasyon Teknolojisi (Elektronik) Bölümü | 2122 - Monitörlük | 2211 - Otomatik Kumanda Bölümü | 2603 - Telekomünikasyon Bölümü | 4238 - Elektrik - Elektronik Teknolojisi/Elektrik-Elektronik Teknolojisi Alanı ve Dalları | 5423 - Asansör Bölümü Bölümü | 5455 - Bobinajcılık Bölümü | 5483 - Elektrik-Elektronik Teknolojisi (Otamasyon Sistemleri Dalı) | 5495 - Elektrik Tesisatçılığı Bölümü | 5653 - Radyoculuk Bölümü | 7322 - (Bakınız Başvurma Özel Şartları Bölümü Devlet Hava Meydanları İşletmesi Genel Müdürlüğü).;12df518d-5d6e-e411-b51b-14feb5cc1801
