yil;donem;kadro_kodu;kurum;unvan;il;ogrenim;kontenjan;bos_kadro;min_puan;max_puan;nitelik_kodlari;nitelikler;kadro_guid
2018;1;190880393;Milli Güvenlik Kurulu Genel Sekreterliği;Hizmetli;Ankara;Ortaogretim;1;;96.017;96.017;"2001;7225";2001 - Herhangi bir ortaöğretim programından mezun olmak. | 7225 - Güvenlik Tahkikatının Olumlu Sonuçlanması.;237f31a5-3a79-e811-80dc-a0369f7d1486
2018;1;110260417;Sivas Cumhuriyet Üniversitesi;Hizmetli;Sivas;Ortaogretim;3;;95.034;96.649;"2001;7225";2001 - Herhangi bir ortaöğretim programından mezun olmak. | 7225 - Güvenlik Tahkikatının Olumlu Sonuçlanması.;908131a5-3a79-e811-80dc-a0369f7d1486
2018;1;110250377;Manisa Celal Bayar Üniversitesi;Hizmetli;Manisa;Ortaogretim;4;;94.189;95.849;"2001;7225";2001 - Herhangi bir ortaöğretim programından mezun olmak. | 7225 - Güvenlik Tahkikatının Olumlu Sonuçlanması.;fb8031a5-3a79-e811-80dc-a0369f7d1486
2018;1;110580313;İzmir Yüksek Teknoloji Enstitüsü;Şoför;İzmir;Ortaogretim;1;;93.988;93.988;"2001;6514;7225;7302";2001 - Herhangi bir ortaöğretim programından mezun olmak. | 6514 - D sınıfı sürücü belgesine sahip olmak | 7225 - Güvenlik Tahkikatının Olumlu Sonuçlanması. | 7302 - Bakınız Başvurma Özel Şartları Bölümü Şoför;b68031a5-3a79-e811-80dc-a0369f7d1486
2018;1;191080177;Devlet Hava Meydanları İşletmesi Genel Müdürlüğü;Teknisyen;Muğla;Ortaogretim;1;;93.772;93.772;"2023;6013;6014;6014;7225;7322";2023 - Aşağıdaki ortaöğretim programlarından birinden mezun olmak. | 6013 - Elektrik-Elektronik Teknolojisi | 6014 - Endüstriyel Otomasyon Teknolojileri - Endüstriyel Kontrol Dalı (Dal kod: 1) | 6014 - Endüstriyel Otomasyon Teknolojileri - Endüstriyel Elektronik Dalı (Dal kod: 102) | 7225 - Güvenlik Tahkikatının Olumlu Sonuçlanması. | 7322 - (Bakınız Başvurma Özel Şartları Bölümü Devlet Hava Meydanları İşletmesi Genel Müdürlüğü).;148131a5-3a79-e811-80dc-a0369f7d1486
2018;1;110180025;Bayburt Üniversitesi;Kaloriferci;Bayburt;Ortaogretim;1;;92.604;92.604;"2001;6251;6297;6661;6663;7225;7347";2001 - Herhangi bir ortaöğretim programından mezun olmak. | 6251 - M.E.B.'Dan Onaylı Doğalgaz Kalorifer Ateşçiliği Sertifikası Sahibi olmak. | 6297 - M.E.B.'Dan Onaylı Kalorifer Ateşçiliği Sertifikası Sahibi olmak. | 6661 - 3308 Sayılı Kanuna Göre Kalorifercilik Dalında Ustalık Belgesine Sahip olmak. | 6663 - 3308 Sayılı Kanuna Göre Kalorifercilik Dalında Kalfalık Belgesine Sahip olmak. | 7225 - Güvenlik Tahkikatının Olumlu Sonuçlanması. | 7347 - (Bakınız Başvurma Özel Şartları Bölümü Kaloriferci).;088231a5-3a79-e811-80dc-a0369f7d1486
2018;1;110450281;Giresun Üniversitesi;Kaloriferci;Giresun;Ortaogretim;1;;92.414;92.414;"2001;6251;6297;6661;6663;7225;7347";2001 - Herhangi bir ortaöğretim programından mezun olmak. | 6251 - M.E.B.'Dan Onaylı Doğalgaz Kalorifer Ateşçiliği Sertifikası Sahibi olmak. | 6297 - M.E.B.'Dan Onaylı Kalorifer Ateşçiliği Sertifikası Sahibi olmak. | 6661 - 3308 Sayılı Kanuna Göre Kalorifercilik Dalında Ustalık Belgesine Sahip olmak. | 6663 - 3308 Sayılı Kanuna Göre Kalorifercilik Dalında Kalfalık Belgesine Sahip olmak. | 7225 - Güvenlik Tahkikatının Olumlu Sonuçlanması. | 7347 - (Bakınız Başvurma Özel Şartları Bölümü Kaloriferci).;1c8031a5-3a79-e811-80dc-a0369f7d1486
2018;1;191080113;Devlet Hava Meydanları İşletmesi Genel Müdürlüğü;Teknisyen;Ankara;Ortaogretim;2;;91.54;91.919;"2011;6006;7225";2011 - Aşağıdaki ortaöğretim programlarından birinden mezun olmak. | 6006 - Bilişim Teknolojileri | 7225 - Güvenlik Tahkikatının Olumlu Sonuçlanması.;297f31a5-3a79-e811-80dc-a0369f7d1486
2018;1;191080185;Devlet Hava Meydanları İşletmesi Genel Müdürlüğü;Teknisyen;Muğla;Ortaogretim;1;;90.895;90.895;"2023;6013;6014;6014;7225;7322";2023 - Aşağıdaki ortaöğretim programlarından birinden mezun olmak. | 6013 - Elektrik-Elektronik Teknolojisi | 6014 - Endüstriyel Otomasyon Teknolojileri - Endüstriyel Kontrol Dalı (Dal kod: 1) | 6014 - Endüstriyel Otomasyon Teknolojileri - Endüstriyel Elektronik Dalı (Dal kod: 102) | 7225 - Güvenlik Tahkikatının Olumlu Sonuçlanması. | 7322 - (Bakınız Başvurma Özel Şartları Bölümü Devlet Hava Meydanları İşletmesi Genel Müdürlüğü).;158131a5-3a79-e811-80dc-a0369f7d1486
2018;1;191080161;Devlet Hava Meydanları İşletmesi Genel Müdürlüğü;Teknisyen;Isparta;Ortaogretim;1;;90.544;90.544;"2023;6013;6014;6014;7225;7322";2023 - Aşağıdaki ortaöğretim programlarından birinden mezun olmak. | 6013 - Elektrik-Elektronik Teknolojisi | 6014 - Endüstriyel Otomasyon Teknolojileri - Endüstriyel Kontrol Dalı (Dal kod: 1) | 6014 - Endüstriyel Otomasyon Teknolojileri - Endüstriyel Elektronik Dalı (Dal kod: 102) | 7225 - Güvenlik Tahkikatının Olumlu Sonuçlanması. | 7322 - (Bakınız Başvurma Özel Şartları Bölümü Devlet Hava Meydanları İşletmesi Genel Müdürlüğü).;3e8031a5-3a79-e811-80dc-a0369f7d1486
2018;1;191080201;Devlet Hava Meydanları İşletmesi Genel Müdürlüğü;Teknisyen;Nevşehir;Ortaogretim;1;;90.48;90.48;"2023;6013;6014;6014;7225;7322";2023 - Aşağıdaki ortaöğretim programlarından birinden mezun olmak. | 6013 - Elektrik-Elektronik Teknolojisi | 6014 - Endüstriyel Otomasyon Teknolojileri - Endüstriyel Kontrol Dalı (Dal kod: 1) | 6014 - Endüstriyel Otomasyon Teknolojileri - Endüstriyel Elektronik Dalı (Dal kod: 102) | 7225 - Güvenlik Tahkikatının Olumlu Sonuçlanması. | 7322 - (Bakınız Başvurma Özel Şartları Bölümü Devlet Hava Meydanları İşletmesi Genel Müdürlüğü).;278131a5-3a79-e811-80dc-a0369f7d1486
2018;1;191080225;Devlet Hava Meydanları İşletmesi Genel Müdürlüğü;Teknisyen;Tekirdağ;Ortaogretim;1;;90.472;90.472;"2023;6013;6014;6014;7225;7322";2023 - Aşağıdaki ortaöğretim programlarından birinden mezun olmak. | 6013 - Elektrik-Elektronik Teknolojisi | 6014 - Endüstriyel Otomasyon Teknolojileri - Endüstriyel Kontrol Dalı (Dal kod: 1) | 6014 - Endüstriyel Otomasyon Teknolojileri - Endüstriyel Elektronik Dalı (Dal kod: 102) | 7225 - Güvenlik Tahkikatının Olumlu Sonuçlanması. | 7322 - (Bakınız Başvurma Özel Şartları Bölümü Devlet Hava Meydanları İşletmesi Genel Müdürlüğü).;a18131a5-3a79-e811-80dc-a0369f7d1486
