yil;donem;kadro_kodu;kurum;unvan;il;ogrenim;kontenjan;bos_kadro;min_puan;max_puan;nitelik_kodlari;nitelikler;kadro_guid
2014;3;191590271;Türkiye Kamu Hastaneleri Kurumu Başkanlığı;Hemşire;Kırıkkale;Ortaogretim;1;;90.002;90.002;"2125;1746;2315;3606";2125 - Aşağıdaki ortaöğretim programlarından birinden mezun olmak. | 1746 - Hemşirelik Bölümü | 2315 - Sağlık Memurluğu Bölümü | 3606 - Ebelik-Hemşirelik Bölümü;5c4422f2-2d6b-e411-b51b-14feb5cc1801
2014;3;191590069;Türkiye Kamu Hastaneleri Kurumu Başkanlığı;Sağlık Memuru;İzmir;Ortaogretim;1;;89.572;89.572;"2089;1051;5421;5673";2089 - Aşağıdaki ortaöğretim programlarından birinden mezun olmak. | 1051 - Anestezi Bölümü/Anestezi Teknisyenliği Bölümü | 5421 - Anestezi ve Reanimasyon Alanı ve Dalları | 5673 - Sağlık (Anestezi Dalı);584222f2-2d6b-e411-b51b-14feb5cc1801
2014;3;191590133;Türkiye Kamu Hastaneleri Kurumu Başkanlığı;Sağlık Memuru;Zonguldak;Ortaogretim;1;;87.537;87.537;"2099;1951;5683;5761";2099 - Aşağıdaki ortaöğretim programlarından birinden mezun olmak. | 1951 - Laboratuvar Bölümü/Laboratuvar Teknisyenliği Bölümü | 5683 - Sağlık (Tıbbi Laboratuvar Dalı) | 5761 - Tıbbi Laboratuvar Alanı ve Dalları;3d4422f2-2d6b-e411-b51b-14feb5cc1801
2014;3;191590055;Türkiye Kamu Hastaneleri Kurumu Başkanlığı;Sağlık Memuru;Bursa;Ortaogretim;2;;87.223;87.771;"2089;1051;5421;5673";2089 - Aşağıdaki ortaöğretim programlarından birinden mezun olmak. | 1051 - Anestezi Bölümü/Anestezi Teknisyenliği Bölümü | 5421 - Anestezi ve Reanimasyon Alanı ve Dalları | 5673 - Sağlık (Anestezi Dalı);224122f2-2d6b-e411-b51b-14feb5cc1801
2014;3;191590093;Türkiye Kamu Hastaneleri Kurumu Başkanlığı;Sağlık Memuru;Niğde;Ortaogretim;1;;86.496;86.496;"2093;1416;5481;5677";2093 - Aşağıdaki ortaöğretim programlarından birinden mezun olmak. | 1416 - Diş Protez Teknisyenliği Bölümü | 5481 - Diş Protez Alanı ve Dalları | 5677 - Sağlık (Diş Protez Dalı);2b4322f2-2d6b-e411-b51b-14feb5cc1801
2014;3;191590087;Türkiye Kamu Hastaneleri Kurumu Başkanlığı;Sağlık Memuru;Gaziantep;Ortaogretim;1;;86.042;86.042;"2093;1416;5481;5677";2093 - Aşağıdaki ortaöğretim programlarından birinden mezun olmak. | 1416 - Diş Protez Teknisyenliği Bölümü | 5481 - Diş Protez Alanı ve Dalları | 5677 - Sağlık (Diş Protez Dalı);a94122f2-2d6b-e411-b51b-14feb5cc1801
2014;3;191590085;Türkiye Kamu Hastaneleri Kurumu Başkanlığı;Sağlık Memuru;Edirne;Ortaogretim;1;;85.821;85.821;"2093;1416;5481;5677";2093 - Aşağıdaki ortaöğretim programlarından birinden mezun olmak. | 1416 - Diş Protez Teknisyenliği Bölümü | 5481 - Diş Protez Alanı ve Dalları | 5677 - Sağlık (Diş Protez Dalı);634122f2-2d6b-e411-b51b-14feb5cc1801
2014;3;191590071;Türkiye Kamu Hastaneleri Kurumu Başkanlığı;Sağlık Memuru;Kocaeli;Ortaogretim;2;;85.785;86.99;"2089;1051;5421;5673";2089 - Aşağıdaki ortaöğretim programlarından birinden mezun olmak. | 1051 - Anestezi Bölümü/Anestezi Teknisyenliği Bölümü | 5421 - Anestezi ve Reanimasyon Alanı ve Dalları | 5673 - Sağlık (Anestezi Dalı);a94222f2-2d6b-e411-b51b-14feb5cc1801
2014;3;191590329;Türkiye Kamu Hastaneleri Kurumu Başkanlığı;Sağlık Memuru;İstanbul;Ortaogretim;2;;85.727;87.711;"2099;1951;5683;5761";2099 - Aşağıdaki ortaöğretim programlarından birinden mezun olmak. | 1951 - Laboratuvar Bölümü/Laboratuvar Teknisyenliği Bölümü | 5683 - Sağlık (Tıbbi Laboratuvar Dalı) | 5761 - Tıbbi Laboratuvar Alanı ve Dalları;4d4222f2-2d6b-e411-b51b-14feb5cc1801
2014;3;191590115;Türkiye Kamu Hastaneleri Kurumu Başkanlığı;Sağlık Memuru;İstanbul;Ortaogretim;2;;85.643;85.682;"2099;1951;5683;5761";2099 - Aşağıdaki ortaöğretim programlarından birinden mezun olmak. | 1951 - Laboratuvar Bölümü/Laboratuvar Teknisyenliği Bölümü | 5683 - Sağlık (Tıbbi Laboratuvar Dalı) | 5761 - Tıbbi Laboratuvar Alanı ve Dalları;554222f2-2d6b-e411-b51b-14feb5cc1801
